"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"134119800","000","44","4064813696955","0"
"134119800","000","43","4064813696948","0"
"134119800","000","42","4064813696931","0"
"134119800","000","41","4064813696924","0"
"134119800","000","40","4064813696917","0"
"134119800","000","39","4064813696900","0"
"134119800","000","38","4064813696894","0"
"134119700","000","46","4064813696771","0"
"134119700","000","45","4064813696764","0"
"134119700","000","44","4064813696757","0"
"134119700","000","43","4064813696740","0"
"134119700","000","42","4064813696733","0"
"134119700","000","41","4064813696726","0"
"134119700","000","40","4064813696719","0"
"134119700","000","39","4064813696702","0"
"134119700","000","38","4064813696696","0"
"134119600","000","47","4064813696597","0"
"134119600","000","46","4064813696580","0"
"134119600","000","45","4064813696573","0"
"134119600","000","44","4064813696566","0"
"134119600","000","43","4064813696559","0"
"134119600","000","42","4064813696542","0"
"134119600","000","41","4064813696535","0"
"134119600","000","40","4064813696528","0"
"134119600","000","39","4064813696511","0"
"134119600","000","38","4064813696504","0"
"134119500","101","46","4064813696498","0"
"134119500","101","45","4064813696481","0"
"134119500","101","44","4064813696474","0"
"134119500","101","43","4064813696467","0"
"134119500","101","42","4064813696450","0"
"134119500","101","41","4064813696443","0"
"134119500","101","40","4064813696436","0"
"134119500","101","39","4064813696429","0"
"134119400","200","45","4064813696412","0"
"134119400","200","44","4064813696405","0"
"134119400","200","43","4064813696399","1"
"134119400","200","42","4064813696382","0"
"134119400","200","41","4064813696375","0"
"134119400","200","40","4064813696368","0"
"134119300","300","45","4064813696351","0"
"134119300","300","44","4064813696344","0"
"134119300","300","43","4064813696337","0"
"134119300","300","42","4064813696320","0"
"134119300","300","41","4064813696313","0"
"134119300","300","40","4064813696306","0"
"134119300","300","39","4064813696290","0"
"134119200","100","48","4064813696191","0"
"134119200","100","47","4064813696184","0"
"134119200","100","46","4064813696177","0"
"134119200","100","45","4064813696160","1"
"134119200","100","44","4064813696153","0"
"134119200","100","43","4064813696146","0"
"134119200","100","42","4064813696139","0"
"134119200","100","41","4064813696122","0"
"134119200","100","40","4064813696115","0"
"134119200","100","39","4064813696108","0"
"134119200","100","38","4064813696092","0"
"134108102","106","46","4064813696085","0"
"134108102","106","44","4064813696061","1"
"134108102","106","42","4064813696047","0"
"134108102","106","40","4064813696023","0"
"134108102","000","46","4064813696016","1"
"134108102","000","44","4064813695996","0"
"134108102","000","42","4064813695972","0"
"134108102","000","40","4064813695958","2"
"134108002","106","46","4064813695927","2"
"134108002","106","44","4064813695903","1"
"134108002","106","42","4064813695880","1"
"134108002","106","40","4064813695866","1"
"134107902","101","46","4064813695842","0"
"134107902","101","44","4064813695828","1"
"134107902","101","42","4064813695804","1"
"134107902","101","40","4064813695781","0"
"134107902","000","46","4064813695774","1"
"134107902","000","44","4064813695750","1"
"134107902","000","42","4064813695736","1"
"134107902","000","40","4064813695712","0"
"134107802","102","46","4064813695682","1"
"134107802","102","44","4064813695668","0"
"134107802","102","42","4064813695644","0"
"134107802","102","40","4064813695620","0"
"134107802","000","46","4064813695613","1"
"134107802","000","44","4064813695590","1"
"134107802","000","42","4064813695576","0"
"134107802","000","40","4064813695552","2"
"123962609","002","4XL","4064813694944","0"
"123962609","002","3XL","4064813694937","0"
"123962609","002","XXL","4064813694920","0"
"123962609","002","XL","4064813694913","0"
"123962609","002","L","4064813694906","0"
"123962609","002","M","4064813694890","0"
"123962609","001","4XL","4064813694654","0"
"123962609","001","3XL","4064813694647","0"
"123962609","001","XXL","4064813694630","0"
"123962609","001","XL","4064813694623","0"
"123962609","001","L","4064813694616","0"
"123962609","001","M","4064813694609","0"
"123962609","000","4XL","4064813694364","0"
"123962609","000","3XL","4064813694357","0"
"123962609","000","XXL","4064813694340","0"
"123962609","000","XL","4064813694333","0"
"123962609","000","L","4064813694326","0"
"123962609","000","M","4064813694319","0"
"934101300","450","3XL","4064813678272","0"
"934101300","450","XXL","4064813678265","0"
"934101300","450","XL","4064813678258","0"
"934101300","450","L","4064813678241","0"
"934101300","450","M","4064813678234","0"
"934101300","200","XXL","4064813678210","0"
"934101300","200","XL","4064813678203","0"
"934101300","200","L","4064813678197","0"
"934101300","200","M","4064813678180","0"
"934101300","100","XXL","4064813678166","0"
"934101300","100","XL","4064813678159","0"
"934101300","100","L","4064813678142","0"
"934101300","100","M","4064813678135","0"
"934101200","500","3XL","4064813678128","0"
"934101200","500","XXL","4064813678111","0"
"934101200","500","XL","4064813678104","0"
"934101200","500","L","4064813678098","0"
"934101200","500","M","4064813678081","0"
"834097200","100","56","4064813677534","7"
"834097200","100","54","4064813677527","11"
"834097200","100","52","4064813677503","16"
"834097200","100","51","4064813677497","2"
"834097200","100","50","4064813677480","20"
"834097200","100","49","4064813677473","3"
"834097200","100","48","4064813677466","28"
"834097200","100","47","4064813677459","8"
"834097200","100","46","4064813677442","34"
"834097200","100","45","4064813677435","11"
"834097200","100","44","4064813677428","29"
"834097200","100","43","4064813677411","17"
"834097200","100","42","4064813677404","30"
"834097200","100","41","4064813677398","14"
"834097200","100","40","4064813677381","18"
"834097200","100","39","4064813677374","2"
"834097200","100","38","4064813677367","2"
"834096900","100","56","4064813676995","2"
"834096900","100","54","4064813676988","2"
"834096900","100","52","4064813676964","2"
"834096900","100","51","4064813676957","1"
"834096900","100","50","4064813676940","4"
"834096900","100","49","4064813676933","1"
"834096900","100","48","4064813676926","5"
"834096900","100","47","4064813676919","0"
"834096900","100","46","4064813676902","5"
"834096900","100","45","4064813676896","1"
"834096900","100","44","4064813676889","5"
"834096900","100","43","4064813676872","0"
"834096900","100","42","4064813676865","3"
"834096900","100","41","4064813676858","1"
"834096900","100","40","4064813676841","0"
"834096800","101","56","4064813676810","1"
"834096800","101","54","4064813676803","0"
"834096800","101","52","4064813676780","0"
"834096800","101","51","4064813676773","0"
"834096800","101","50","4064813676766","0"
"834096800","101","49","4064813676759","1"
"834096800","101","48","4064813676742","0"
"834096800","101","47","4064813676735","0"
"834096800","101","46","4064813676728","0"
"834096800","101","45","4064813676711","0"
"834096800","101","44","4064813676704","0"
"834096800","101","43","4064813676698","0"
"834096800","101","42","4064813676681","12"
"834096800","101","41","4064813676674","1"
"834096800","101","40","4064813676667","0"
"834096700","100","54","4064813676629","2"
"834096700","100","52","4064813676605","3"
"834096700","100","50","4064813676582","5"
"834096700","100","48","4064813676568","4"
"834096700","100","46","4064813676544","5"
"834096700","100","45","4064813676537","2"
"834096700","100","44","4064813676520","5"
"834096700","100","43","4064813676513","2"
"834096700","100","42","4064813676506","2"
"834096700","100","41","4064813676490","2"
"834096700","100","40","4064813676483","3"
"834096600","100","56","4064813676452","0"
"834096600","100","54","4064813676445","1"
"834096600","100","52","4064813676421","0"
"834096600","100","51","4064813676414","1"
"834096600","100","50","4064813676407","0"
"834096600","100","49","4064813676391","1"
"834096600","100","48","4064813676384","0"
"834096600","100","47","4064813676377","0"
"834096600","100","46","4064813676360","0"
"834096600","100","45","4064813676353","0"
"834096600","100","44","4064813676346","0"
"834096600","100","43","4064813676339","0"
"834096600","100","42","4064813676322","0"
"834096600","100","41","4064813676315","0"
"834096600","100","40","4064813676308","2"
"834096400","000","56","4064813676094","2"
"834096400","000","54","4064813676087","4"
